Index,Task ID,Filename,Title,Priority,Status,Issue Number
1,**-ARCHITECTURE-OVERVIEW-RAG-PIPELINE,task-**-architecture-overview-rag-pipeline.md,HybridRAG パイプライン アーキテクチャ概要,-,-,957
2,00-MASTER-LIST,task-00-master-task-list.md,HybridRAG パイプライン - マスタータスクリスト,-,-,958
3,05-HISTORY-LOG-MANAGEMENT,task-05-history-log-management.md,履歴/ログ管理 - タスク指示書,-,-,264
4,07-HYBRID-SEARCH-ENGINE,task-07-hybrid-search-engine.md,HybridRAG 検索エンジン - タスク指示書,-,-,265
5,08-KNOWLEDGE-GRAPH-CONSTRUCTION,task-08-knowledge-graph-construction.md,Knowledge Graph構築 - タスク指示書,-,-,266
6,10A-B-ANALYSIS-VIEW-MOLECULE-SEPARATION,task-10a-b-analysis-view-molecule-separation.md,UT-TASK-10A-B-005 SkillAnalysisView 分割設計追補 - タスク指示書,-,-,990
7,10A-B-COMPLETED-UT-PLACEMENT-POLICY-GUAR,task-10a-b-completed-ut-placement-policy-guard.md,UT-TASK-10A-B-009 完了済みUT配置ポリシー統一ガード - タスク指示書,-,-,982
8,10A-B-IMPROVEMENT-RESULT-TIMESTAMP-READA,task-10a-b-improvement-result-timestamp-readability.md,UT-TASK-10A-B-009 改善結果実行日時の視認性改善 - タスク指示書,-,-,982
9,10A-B-IMPROVEMENT-TOAST-NOTIFICATION,task-10a-b-improvement-toast-notification.md,UT-TASK-10A-B-002 改善結果トースト通知実装 - タスク指示書,-,-,992
10,10A-B-PHASE11-REQUIRED-SECTIONS-VALIDATI,task-10a-b-phase11-required-sections-validation-guard.md,UT-TASK-10A-B-006 Phase 11 必須セクション検証ガード - タスク指示書,-,-,993
11,10A-B-PHASE11-SCREENSHOT-FRESHNESS-GUARD,task-10a-b-phase11-screenshot-freshness-guard.md,UT-TASK-10A-B-007 Phase 11 画面証跡鮮度ガード - タスク指示書,-,-,994
12,10A-B-PROPS-CONTRACT-ALIGNMENT,task-10a-b-props-contract-alignment.md,UT-TASK-10A-B-004 Props契約整合（skill vs skillName） - タスク指示書,-,-,995
13,10A-E-D-LINT-COMMAND-PATH-ALIGNMENT-001,task-10a-e-d-lint-command-path-alignment-001.md,UT-10A-E-D-001 - タスク指示書,-,-,1054
14,10A-G-SKILLEDITOR-FILEOPS-STORE-MIGRATIO,task-10a-g-skilleditor-fileops-store-migration.md,SkillEditor.tsx ファイル操作系 direct IPC の Store 移行 - タスク指示書,-,-,1100
15,10A-UI-SKILL-IMPROVE,task-10a-ui-skill-improve.md,TASK-10A-UI-SKILL-IMPROVE - スキル改善UI表示機能,-,-,686
16,10B-IMPROVE-HISTORY,task-10b-improve-history.md,TASK-10B-IMPROVE-HISTORY - 改善履歴の永続化,-,-,687
17,10C-AB-TEST,task-10c-ab-test.md,TASK-10C-AB-TEST - A/Bテスト実行・結果比較機能,-,-,688
18,3-1-B-SKILLEXECUTOR-IPC-INTEGRATION,task-3-1-B-skillexecutor-ipc-integration.md,SkillExecutor IPC Handler統合 - タスク指示書,-,-,540
19,8C-PERMISSION-RESOLVER-E2E-INTEGRATION,task-8c-permission-resolver-e2e-integration.md,PermissionResolver E2E統合テスト - タスク指示書,-,-,506
20,9A-C-CODE-EDITOR-MIGRATION,task-9a-c-code-editor-migration.md,SkillEditor コードエディター移行（Monaco/CodeMirror） - タスク指示書,-,-,832
21,9A-C-SYNTAX-HIGHLIGHTING,task-9a-c-syntax-highlighting.md,SkillEditor シンタックスハイライト対応 - タスク指示書,-,-,834
22,9B-H-API-DUAL-PUBLISHING-UNIFICATION,task-9b-h-api-dual-publishing-unification.md,UT-9B-H-005: Preload API二重公開パターンの統一,-,-,793
23,9B-H-DESIGN-IMPLEMENTATION-ALIGNMENT,task-9b-h-design-implementation-alignment.md,SkillCreator 設計書-実装整合性修正 - タスク指示書,-,-,794
24,9B-H-IPCRESULT-TYPE-UNIFICATION,task-9b-h-ipcresult-type-unification.md,IpcResult型の重複定義統一 - タスク指示書,-,-,795
25,9B-H-SECURITY-HARDENING,task-9b-h-security-hardening.md,SkillCreator IPCセキュリティ強化 - タスク指示書,-,-,796
26,9B-H-SKILL-CREATOR-IPC-CHANNEL,task-9b-h-skill-creator-ipc-channel.md,SkillCreatorService IPC通信チャンネル設定 - タスク指示書,-,-,692
27,9B-H-ZOD-SCHEMA-MIGRATION,task-9b-h-zod-schema-migration.md,IPCハンドラー引数検証のZodスキーマ移行 - タスク指示書,-,-,797
28,9B-I-SKILL-CREATOR-SDK-INTEGRATION,task-9b-i-skill-creator-sdk-integration.md,Claude Agent SDK本格統合 - タスク指示書,-,-,693
29,9B-J-SKILL-CREATOR-CACHE-INVALIDATION,task-9b-j-skill-creator-cache-invalidation.md,キャッシュ無効化の仕組み追加 - タスク指示書,-,-,694
